name,release_date,required_age,price,dlc_count,qtd_user_score,user_score,metacritic_score,achievements,developers,publishers,estimated_owners,min_owners,max_owners,discount,count_lang,count_lang_audio,art_style,main_end_time,Ação,Arcade,Atmosférico,Aventura,Baseado em Turnos,Caótico,Casual,Cinematográfico,Combate,Comédia,Competitivo,Construção,Controle por Movimento,Cooperativo,Corrida,Criação de Personagem,Crossover,Detetive,Difícil,DIY (Faça Você Mesmo),Educacional,Esportes,Estilizado,Estratégia,Exploração,Familiar,Fantasia,Fantasia Sombria,Ficção Científica,Fitness (Exergame),FMV (Full Motion Video),Furtividade (Stealth),Gratuito (Free-to-Play),Guerra,Hack and Slash,Histórico,Ilusão de Ótica,Indie,Isométrico,Jogo de Cartas,Loop Temporal,Luta (Fighting Game),Mecha,Metroidvania,Mistério,Mitologia,Multiplayer,Mundo Aberto,Narrativo,Ótima Trilha Sonora,Party Game,Pixel Art,Plataforma,Poker,Psicodélico,Puzzle,Rail Shooter,Relaxante,Remake,Ritmo,RPG,Roguelite,Sandbox,Shooter,Simulação,Sombrio (Dark),Soulslike,Super-herói,Supernatural,Terror,Toys-to-Life,Voxel
13 Sentinels: Aegis Rim,2022/04/12,13.0,59.99,3.0,546.0,8.9,85.0,56.0,"[""Vanillaware""]","[""Atlus"", ""SEGA""]",1000000,,,0.0,5.0,5.0,Anime,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Plague Tale: Innocence,2019/05/14,17.0,7.99,1.0,2217.0,8.3,81.0,35.0,['Asobo Studio'],['Focus Entertainment'],1500000,1000000,2000000,80.0,14.0,4.0,Realista,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Plague Tale: Requiem,2022/10/18,0.0,19.99,1.0,1604.0,8.3,82.0,35.0,['Asobo Studio'],['Focus Entertainment'],750000,500000,1000000,60.0,16.0,6.0,Realista,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alan Wake 2,2023/10/27,18.0,59.99,1.0,3894.0,8.5,89.0,88.0,['Remedy Entertainment'],['Epic Games Publishing'],2000000,,,0.0,14.0,5.0,Realista,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Animal Crossing: New Horizons,2020/03/20,0.0,59.99,1.0,7299.0,5.9,90.0,0.0,"[""Nintendo EPD""]","[""Nintendo""]",45000000,,,0.0,14.0,14.0,Cartoon,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANIMAL WELL,2024/05/09,0.0,24.99,0.0,664.0,8.1,91.0,20.0,['Billy Basso'],['Bigmode'],350000,200000,500000,40.0,14.0,0.0,Pixel Art,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assassin's Creed® Odyssey,2018/10/05,17.0,11.99,3.0,5440.0,6.9,83.0,93.0,"['Ubisoft Quebec', 'Ubisoft Montreal', 'Ubisoft Bucharest', 'Ubisoft Singapore', 'Ubisoft Montpellier', 'Ubisoft Kiev', 'Ubisoft Shanghai']",['Ubisoft'],3500000,2000000,5000000,80.0,15.0,9.0,Realista,45,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Astro Bot,2024/09/06,0.0,59.99,5.0,5341.0,9.1,94.0,44.0,['Team Asobi'],['Sony Interactive Entertainment'],2500000,,,32.0,30.0,26.0,Cartoon,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axiom Verge,2015/03/31,0.0,19.99,1.0,248.0,7.7,80.0,29.0,['Thomas Happ Games LLC'],['Thomas Happ Games LLC'],350000,200000,500000,0.0,8.0,0.0,Pixel Art,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baba Is You,2019/03/13,0.0,14.99,1.0,198.0,7.9,87.0,18.0,['Hempuli Oy'],['Hempuli Oy'],750000,500000,1000000,0.0,17.0,0.0,Minimalista,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
