TGA indicados,,,,,
name,year,goty,narrative,indie,family
Dragon Age™ Inquisition,2014,2,0,0,0
Bayonetta 2,2014,1,0,0,0
DARK SOULS™ II,2014,1,0,0,0
Hearthstone: Heroes of Warcraft,2014,1,0,0,0
Middle-earth™: Shadow of Mordor™,2014,1,0,0,0
Valiant Hearts: The Great War™,2014,0,2,0,0
South Park™: The Stick of Truth™,2014,0,1,0,0
The Walking Dead: Season Two,2014,0,1,0,0
The Wolf Among Us,2014,0,1,0,0
Wolfenstein: The New Order,2014,0,1,0,0
Transistor,2014,0,1,0,0
Shovel Knight: Treasure Trove,2014,0,0,2,0
Broken Age Act I,2014,0,0,1,0
Monument Valley,2014,0,0,1,0
The Vanishing of Ethan Carter,2014,0,0,1,0
Mario Kart 8,2014,0,0,0,2
Disney Infinity: Marvel Super Heroes,2014,0,0,0,1
Fantasia: Music Evolved,2014,0,0,0,1
Skylanders: Trap Team,2014,0,0,0,1
Tomodachi Life,2014,0,0,0,1
The Witcher 3: Wild Hunt,2015,2,0,0,0
Bloodborne,2015,1,0,0,0
Fallout 4,2015,1,0,0,0
METAL GEAR SOLID V: THE PHANTOM PAIN,2015,1,0,0,0
Super Mario Maker,2015,1,0,0,2
Her Story,2015,0,2,0,0
Life is Strange,2015,0,1,0,0
Tales from the Borderlands,2015,0,1,0,0
Until Dawn™,2015,0,1,0,0
Ori and the Blind Forest,2015,0,1,0,0
Rocket League,2015,0,0,2,0
Axiom Verge,2015,0,0,1,0
Her Story,2015,0,0,1,0
Undertale,2015,0,0,1,0
Splatoon,2015,0,0,0,1
Disney Infinity 3.0,2015,0,0,0,1
Lego Dimensions,2015,0,0,0,1
Skylanders: SuperChargers,2015,0,0,0,1
Astro Bot,2024,2,0,0,2
Balatro,2024,1,0,2,0
Black Myth: Wukong,2024,1,0,0,0
Elden Ring: Shadow of Erdtree,2024,1,0,0,0
FINAL FANTASY VII REBIRTH,2024,1,1,0,0
Metaphor: ReFantazio,2024,1,2,0,0
Like a Dragon: Infinite Wealth,2024,0,1,0,0
Senua's Saga: Hellblade II,2024,0,1,0,0
SILENT HILL 2,2024,0,1,0,0
The Legend of Zelda: Echoes of Wisdom,2024,0,0,0,1
The Plucky Squire,2024,0,0,0,1
Princess Peach: Showtime!,2024,0,0,0,1
Super Mario Party Jamboree,2024,0,0,0,1
ANIMAL WELL,2024,0,0,1,0
Lorelei and the Laser Eyes,2024,0,0,1,0
Neva,2024,0,0,1,0
UFO 50,2024,0,0,1,0
Baldur's Gate 3,2023,2,1,0,0
Alan Wake 2,2023,1,2,0,0
The Legend of Zelda: Tears of the Kingdom,2023,1,0,0,0
Marvel's Spider-Man 2,2023,1,1,0,0
Resident Evil 4,2023,1,0,0,0
Super Mario Bros. Wonder,2023,1,0,0,2
Cyberpunk 2077,2023,0,1,0,0
FINAL FANTASY XVI,2023,0,1,0,0
Sea of Stars,2023,0,0,2,0
COCOON,2023,0,0,1,0
DAVE THE DIVER,2023,0,0,1,0
DREDGE,2023,0,0,1,0
Viewfinder,2023,0,0,1,0
Disney Illusion Island,2023,0,0,0,1
Party Animals,2023,0,0,0,1
Pikmin 4,2023,0,0,0,1
Sonic Superstars,2023,0,0,0,1
ELDEN RING,2022,2,1,0,0
A Plague Tale: Requiem,2022,1,1,0,0
God of War Ragnarök,2022,1,2,0,0
Horizon Forbidden West™,2022,1,1,0,0
Stray,2022,1,0,2,0
Xenoblade Chronicles 3,2022,1,0,0,0
IMMORTALITY,2022,0,1,0,0
Kirby and the Forgotten Land,2022,0,0,0,2
LEGO® Star Wars™: The Skywalker Saga,2022,0,0,0,1
Mario + Rabbids Sparks of Hope,2022,0,0,0,1
Nitendo Switch Sports,2022,0,0,0,1
Splatoon 3,2022,0,0,0,1
Cult of the Lamb,2022,0,0,1,0
Neon White,2022,0,0,1,0
Sifu,2022,0,0,1,0
TUNIC,2022,0,0,1,0
Overwatch® 2,2016,2,0,0,0
DOOM,2016,1,0,0,0
INSIDE,2016,1,1,2,0
Titanfall® 2,2016,1,0,0,0
UNCHARTED™: A Thief's End,2016,1,2,0,0
Firewatch,2016,0,1,1,0
Mafia III,2016,0,1,0,0
Oxenfree,2016,0,1,0,0
Firewatch,2016,0,0,1,0
Hyper Light Drifter,2016,0,0,1,0
Stardew Valley,2016,0,0,1,0
The Witness,2016,0,0,1,0
Pokemon GO,2016,0,0,0,2
DRAGON QUEST BUILDERS,2016,0,0,0,1
LEGO® STAR WARS™: The Force Awakens,2016,0,0,0,1
Ratchet & Clank,2016,0,0,0,1
Skylanders: Imaginators,2016,0,0,0,1
It Takes Two,2021,2,1,0,2
DEATHLOOP,2021,1,1,0,0
Metroid Dread,2021,1,0,0,0
Psychonauts 2,2021,1,1,0,0
Ratchet & Clank: Rift Apart,2021,1,0,0,0
Resident Evil Village,2021,1,0,0,0
Marvel's Guardians of the Galaxy,2021,0,2,0,0
Life is Strange: True Colors,2021,0,1,0,0
Kena: Bridge of Spirits,2021,0,0,2,0
Twelve Minutes,2021,0,0,1,0
Death's Door,2021,0,0,1,0
Inscryption,2021,0,0,1,0
Loop Hero,2021,0,0,1,0
Mario Party Superstars,2021,0,0,0,1
New Pokemon Snap,2021,0,0,0,1
Super Mario 3D World + Bowser's Fury,2021,0,0,0,1
WarioWare: Get It Together!,2021,0,0,0,1
The Legend of Zelda: Breath of the Wild,2017,2,0,0,0
Horizon Zero Dawn™,2017,1,1,0,0
Persona 5,2017,1,0,0,0
PUBG: BATTLEGROUNDS,2017,1,0,0,0
Super Mario Odyssey,2017,1,0,0,2
What Remains of Edith Finch,2017,0,2,1,0
Hellblade: Senua's Sacrifice,2017,0,1,1,0
NieR:Automata™,2017,0,1,0,0
Wolfenstein II: The New Colossus,2017,0,1,0,0
Cuphead,2017,0,0,2,0
Night in the Woods,2017,0,0,0,0
Pyre,2017,0,0,0,0
Mario Kart 8 Deluxe,2017,0,0,0,1
